Timestamp,"Please indicate your survey ID number (last 4 digits of phone + last 3 digits of home ZIP, formatted dddd-ddd) e.g. 1234-123",Please indicate your professor (and class for Haverford),How confident are you about coding a searching algorithm?,How confident are you with big-O notation?,What is the time complexity of binary search?,In binary search if the value at the mid position is less than key (e.g. say your key was 9 and the value at the middle position is 5)...,What statement is true about the binary search algorithm?,The song will help me remember the algorithm better for future use.,The song did NOT help my understanding of binary search.,The order of the videos made sense and flowed naturally., I thought the lyrics of the song translated readily into actual code.,The song made my learning experience more fun.,The videos made the algorithm and material less intimidating.,The video series was NOT a good use of my time to understand binary search.,The videos will be useful study materials for quizzes and exams.,I would like more video series (with songs) to help me learn other algorithms/concepts.,Please feel free to offer us any other thoughts about this exercise with the videos.,Gender?,Race/Ethnicity?,Disability or impairment?
3/19/16 14:12,2033-840,Meeden,3,3,O(log2 n)  (base 2),set low to mid + 1 and let the high position be,It cuts the array in half till it finds the key's place,1,1,2,2,1,1,5,1,1,,Male,White,None
3/19/16 14:22,4818-831,Knerr,3,3,O(log2 n)  (base 2),set high to mid -1 and let the low position be,It cuts the array in half till it finds the key's place,1,2,4,3,3,5,3,4,2,,,,
3/19/16 15:58,2828-602,Meeden,2,3,O(log2 n)  (base 2),set low to mid + 1 and let the high position be,It cuts the array in half till it finds the key's place,3,1,5,5,3,2,1,4,4,,Female,Asian,no
3/20/16 11:10,5765-634,Meeden,3,3,O(log2 n)  (base 2),set high to mid -1 and let the low position be,It cuts the array in half till it finds the key's place,3,2,5,5,4,5,3,5,3,,,,
3/20/16 17:56,0042-054,Meeden,3,3,O(log2 n)  (base 2),set low to mid + 1 and let the high position be,It cuts the array in half till it finds the key's place,5,5,5,5,5,5,5,5,5,,Male,Asian (Indian),None
3/20/16 19:13,8789-421,Meeden,3,3,O(log2 n)  (base 2),set high to mid -1 and let the low position be,It cuts the array in half till it finds the key's place,4,3,3,3,4,4,2,4,4,,,,
3/20/16 22:39,2209,Meeden,3,3,O(log2 n)  (base 2),set low to mid + 1 and let the high position be,It cuts the array in half till it finds the key's place,3,2,3,4,2,3,2,3,3,,female,,
3/20/16 23:51,3297-204,Meeden,4,2,I don't know,set high to mid -1 and let the low position be,It cuts the array in half till it finds the key's place,4,2,5,4,4,5,4,4,4,"Good videos and good song, it presents the material in an entertaining way. But the videos were a little too long. ",Femal,Asian,None
3/21/16 4:08,2364-060,Knerr,4,4,O(log2 n)  (base 2),set low to mid + 1 and let the high position be,It cuts the array in half till it finds the key's place,3,3,5,5,4,4,1,3,3,"The videos felt like they were moving a little slow to me. It's probably fine- its definitely better to err on the side of being slower anyway, and its easy enough to go to youtube and play them at double speed. ",man,white,none
3/21/16 10:32,6551-025,Meeden,3,3,O(log2 n)  (base 2),set high to mid -1 and let the low position be,It cuts the array in half till it finds the key's place,4,1,3,5,3,4,3,3,3,If meant to watch all three (as in this was your first exposure) they became repetitive and not very time efficient.,Female,White,None
3/21/16 20:07,3642-145,Meeden,5,4,O(log2 n)  (base 2),set low to mid + 1 and let the high position be,It is better than linear search in all cases,2,4,5,5,5,5,1,3,4,,Female,Asian,None
