Timestamp,"Please indicate your survey ID number (last 4 digits of phone + last 3 digits of home ZIP, formatted dddd-ddd)",Please indicate your professor (and class for Haverford),How confident are you about coding a sorting algorithm?,How confident are you with big-O notation?,What is the time complexity of selection sort?,What guarantee could be made of the list to be sorted after the initial iteration of the outer loop of the selection sort algorithm?,What statement is true about the selection sort algorithm?,The song will help me remember the algorithm better for future use.,The song did NOT help my understanding of selection sort.,The order of the videos made sense and flowed naturally., I thought the lyrics of the song translated readily into actual code.,The song made my learning experience more fun.,The videos made the algorithm and material less intimidating.,The video series was NOT a good use of my time to understand selection sort.,The video series will be a good study resource for quizzes and exams.,I would like more video series with songs to help me learn other algorithms/concepts.,Please feel free to offer us any other thoughts you have about the videos!,Gender?,Race/Ethnicity?,Disability/Impairment?
3/22/16 21:16,0666-054,Dougherty 104,4,4,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",4,2,5,5,5,5,3,3,4,,,,
3/22/16 21:35,7404-520,Dougherty 104,3,4,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",1,4,5,1,2,4,2,3,2,,Male,White,No
3/22/16 21:45,1747-108,Dougherty 104,4,3,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",2,4,5,5,3,4,2,4,3,,Male,Asian,none
3/23/16 0:22,6965-226,Dougherty 104,3,3,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",3,3,4,2,3,4,2,3,4,,Male,White,
3/23/16 11:00,7656-221,Dougherty 104,3,4,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",3,2,5,2,3,4,2,4,4,,Male,White,
3/23/16 11:07,1678-096,Dougherty 104,4,3,O(1),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",2,2,5,5,3,3,2,4,3,,,,
3/24/16 10:07,7705-071,Dougherty 104,4,4,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",1,5,2,2,1,2,5,2,2,,,,
3/24/16 18:17,7050-402,Dougherty 104,3,3,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",2,2,5,4,3,5,1,5,3,"Not sure if memorizing the song would be that helpful, but watching the videosâ€”being able to pause, rewind, and fast forward at my own paceâ€”certainly were.",Female,White,No
3/24/16 19:49,4486-119,Brody,4,4,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",3,4,2,5,4,2,3,3,4,"For the level of difficulty of the algorithm, the videos were excessively long and repetitive.",Male,,
3/25/16 0:10,3715-111,Dougherty 104,4,4,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",3,3,4,2,4,5,2,3,4,"I thought that they were interesting takes on Computer Science (that is, the inclusion of song lyrics and the interactive blackboard)!",Male,Black/African-American,"Visually nearsighted (without glasses and only in left eye), small history of asthma"
3/25/16 0:37,9645-041,Dougherty 104,2,1,O(n^2),I do not know.,I do not know.,4,1,3,5,5,5,1,5,5,,,,
3/25/16 9:13,6933-816,Dougherty 104,3,5,O(n^2),Both the largest would be at the end and the smallest would be at the start.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop increases.",2,4,3,2,3,2,2,3,3,,Male,Asian,
3/25/16 12:58,0355-024,Dougherty 104,5,5,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",3,2,4,4,4,5,1,3,4,,Male,White,
3/25/16 13:24,3933-102,Dougherty 104,3,3,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",3,3,5,4,4,4,2,5,4,,,,
3/25/16 13:25,0752-041,Dougherty 104,3,5,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",3,3,4,3,3,3,3,3,3,,Female,Asian,No
3/25/16 16:25,1986-626,Knerr,5,5,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",4,4,5,5,5,2,3,4,3,"The song didn't help me learn the algorithm, I learned what it was before I got to the dong. However, it will likely help me out in memorizing it. If you do more of these, I might suggest having a button somewhere that will play the song, and only the song, so I can play it over and over again without having to search through the video for it. This would help a lot",Male,White,None
3/26/16 22:37,4818-831,Knerr,4,2,O(log n),The smallest element is at the start of the list.,Same number of iterations regardless of whether or not the list is sorted early on,1,3,5,3,1,2,1,4,2,,Female,Asian,none
3/27/16 12:31,8124-702,Brody,4,2,O(n^2),Cannot make any guarantee after the initial pass,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",2,4,5,4,2,4,2,3,2,The song wasn't catchy enough to make it helpful. Try a catchier tune.,Female,White/Japanese,no
3/27/16 13:56,1488-043,Knerr,4,3,O(n^2),Both the largest would be at the end and the smallest would be at the start.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",3,2,4,4,3,4,2,3,3,,Female,White,No
3/27/16 15:47,9474-254,Knerr,4,4,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",4,2,4,4,4,4,2,4,4,,Female,White,None
3/27/16 21:54,2757-410,Brody,4,4,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",3,2,5,4,4,5,2,5,3,,Female,Chinese-American,
3/27/16 23:52,9494-042,Knerr,3,3,O(1),The list would be sorted.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",2,3,4,3,2,3,3,2,2,"The videos had good information, but went a little too slowly. I would prefer a combination of text and pictures to videos. ",,,
3/28/16 0:26,7608-070,Knerr,4,4,O(n^2),Cannot make any guarantee after the initial pass,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",4,1,4,4,5,4,3,5,5,,Female,White,None
3/28/16 0:26,1652-109,Knerr,4,4,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",4,1,3,4,5,4,2,4,5,This is great! The quality of the background piano music is fantastic.,Male,While,nada
3/28/16 0:30,7167-109,Knerr,3,3,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",2,3,5,5,4,4,1,4,4,"These videos may have assumed a bit to little background knowledge. They were helpful though, thanks!",male,hispanic/white,none
3/28/16 0:51,7250-912,Knerr,3,4,O(1),Both the largest would be at the end and the smallest would be at the start.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",3,2,4,3,5,4,2,3,4,,female,no,no
3/28/16 9:37,2222-084,Knerr,3,4,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",2,4,4,3,3,4,2,3,3,,Male,Hispanic,None
3/28/16 10:07,1898-009,Knerr,4,4,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",3,3,4,3,3,3,4,3,2,,Male,White,
3/28/16 10:16,6180-619,Knerr,4,3,O(log n),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",4,2,4,4,5,5,2,4,5,,Male,African American,None
3/28/16 12:35,3815-382,Knerr,3,2,O(n^2),The smallest element is at the start of the list.,"With each pass (i.e., outer loop iteration), the number of iterations of the inner loop decreases.",3,4,4,4,3,3,3,4,3,,Male,White,ADHD and other learning disabilities 
